unmapped_SMILES,mapped_SMILES
[H]-C-c>>c-C-Br,[c:9]-[C:11]-[#1:3011]>>[c:9]-[C:11]-[Br:13]
[H]-N-C.[H]-O-C(-c)=O>>C-N-C(-c)=O,[#1:1029]-[O:29]-[C:27](-[c:24])=[O:28].[C:2]-[N:5]-[#1:2005]>>[C:2]-[N:5]-[C:27](-[c:24])=[O:28]
C=C-C>>C-C1-C-O-1,[C:2]-[C:6]=[C:12]>>[C:2]-[C:6]1-[O:24]-[C:12]-1
[H]-C(-c)=O.[H]-N-c(:c):c(:c)-N(-[H])-[H]>>c:c1:n:c(-c):n:c:1:c,[c:28]-[C:29](-[#1:1029])=[O:30].[c:3]:[c:1](-[N:4]-[#1:2004]):[c:2](-[N:6](-[#1:1006])-[#1:2006]):[c:5]>>[c:3]:[c:1]1:[c:2](:[c:5]):[n:6]:[c:29](-[c:28]):[n:4]:1
C-I.[H]-n(:c):c>>c:n(:c)-C,[C:1]-[I:25].[c:13]:[n:15](-[#1:1015]):[c:8]>>[C:1]-[n:15](:[c:8]):[c:13]
[H]-O-C(-[H])(-c)-c>>c-C(-c)=O,[c:16]-[C:21](-[#1:1021])(-[c:22])-[O:23]-[#1:1023]>>[c:16]-[C:21](-[c:22])=[O:23]
[H]-c(:c):c>>c:c(:c)-N(=O)-O,[c:4]:[c:9](:[c:13])-[#1:1009]>>[c:4]:[c:9](:[c:13])-[N&+:22](=[O:23])-[O&-:24]
[H]-C(-[H])(-[H])-C(-O-C(=O)-N(-C)-C)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H]>>[H]-N(-C)-C,[#1:1025]-[C:25](-[#1:2025])(-[#1:3025])-[C:26](-[O:27]-[C:28](=[O:29])-[N:9](-[C:4])-[C:6])(-[C:30](-[#1:1030])(-[#1:2030])-[#1:3030])-[C:31](-[#1:1031])(-[#1:2031])-[#1:3031]>>[C:4]-[N:9](-[C:6])-[#1:1009]
[H]-C(-C)-C(-C)=O.[H]-N-c>>C-C=C(-C)-N-c,[C:2](-[#1:2002])(-[C:1])-[C:5](=[O:16])-[C:7].[c:9]-[N:12]-[#1:2012]>>[C:2](-[C:1])=[C:5](-[C:7])-[N:12]-[c:9]
[H]-C(-[H])(-[H])-O-c>>[H]-O-c,[#1:1023]-[C:23](-[#1:2023])(-[#1:3023])-[O:22]-[c:17]>>[c:17]-[O:22]-[#1:1022]
